test_no,bfs_visited,dfs_visited,astar_visited,greedy_visited,bfs_cost,dfs_cost,astar_cost,greedy_cost
1,404,173,178,185,50,72,50,64
2,425,327,146,172,49,95,49,73
3,165,139,33,30,20,20,20,28
4,147,578,59,30,30,158,30,30
5,317,635,134,47,35,35,35,35
6,380,63,88,52,45,45,45,45
7,90,200,27,25,25,33,25,25
8,348,280,108,79,41,55,41,55
9,460,408,146,101,61,61,61,79
10,249,523,52,63,33,129,33,49
11,540,258,120,125,61,61,61,85
12,407,406,96,143,44,102,44,44
13,212,549,63,25,25,25,25,25
14,539,304,107,52,51,51,51,51
15,433,615,197,106,52,126,52,52
16,472,574,261,132,65,99,65,65
17,380,546,110,80,38,98,38,38
18,211,585,84,48,30,144,30,30
19,511,292,190,209,61,91,61,89
20,153,113,31,29,25,25,25,25
21,419,337,166,69,64,102,64,64
22,30,11,11,11,12,12,12,12
23,27,21,20,20,21,21,21,21
24,233,175,57,23,23,23,23,23
25,395,342,155,66,57,101,57,57
26,48,128,15,9,10,10,10,10
27,95,158,29,21,14,42,14,14
28,77,27,22,21,21,21,21,21
29,262,502,43,43,44,144,44,44
30,367,81,133,50,51,51,51,51
31,637,191,280,134,74,86,74,84
32,33,220,10,10,11,11,11,11
33,339,345,101,33,34,34,34,34
34,612,554,395,129,69,69,69,85
35,542,356,129,63,61,61,61,61
36,248,606,49,36,37,39,37,37
37,238,140,87,52,39,51,39,39
38,597,294,382,127,72,90,72,72
39,88,206,46,18,19,23,19,19
40,449,285,133,106,51,55,51,77
41,59,165,36,23,23,23,23,23
42,169,179,38,37,26,48,26,26
43,493,584,107,55,40,42,40,40
44,543,390,219,114,60,90,60,76
45,54,153,19,11,12,12,12,12
46,386,116,136,97,45,45,45,53
47,619,300,271,202,67,85,67,81
48,208,460,34,27,27,49,27,27
49,112,459,18,18,19,63,19,19
50,26,124,15,14,15,15,15,15
51,643,313,161,102,67,67,67,67
52,394,206,83,79,45,45,45,45
53,624,210,268,200,68,68,68,100
54,181,428,30,24,21,21,21,21
55,476,346,128,222,42,90,42,90
56,450,145,145,65,43,55,43,55
57,337,225,70,38,39,39,39,39
58,216,509,48,44,38,76,38,38
59,530,470,105,117,44,88,44,44
60,202,330,49,32,33,111,33,33
61,301,637,100,43,35,35,35,35
62,457,508,229,92,48,170,48,52
63,522,541,220,108,67,83,67,67
64,19,10,10,10,11,11,11,11
65,550,603,254,79,58,150,58,68
66,10,125,6,6,7,7,7,7
67,486,530,178,185,50,50,50,60
68,307,45,66,40,41,41,41,41
69,362,517,89,77,40,56,40,56
70,621,253,387,167,78,88,78,86
71,368,191,87,64,38,38,38,38
72,86,36,18,18,18,18,18,18
73,123,621,20,20,21,55,21,21
74,171,459,51,33,26,148,26,26
75,496,591,174,146,40,40,40,40
76,380,81,141,62,51,51,51,51
77,513,277,234,196,58,92,58,92
78,287,493,104,47,40,144,40,40
79,271,519,49,62,28,46,28,46
80,449,438,119,62,45,119,45,53
81,120,158,49,25,25,45,25,25
82,508,267,127,93,49,59,49,59
83,136,603,34,27,28,28,28,28
84,477,415,122,177,46,76,46,46
85,304,621,94,58,33,79,33,35
86,538,616,292,152,63,75,63,73
87,248,89,98,46,29,47,29,37
88,30,8,8,8,9,9,9,9
89,355,333,91,50,48,70,48,48
90,114,164,21,21,22,68,22,22
91,442,388,108,43,44,86,44,44
92,249,283,30,30,29,91,29,29
93,115,161,58,25,26,28,26,26
94,396,400,48,48,42,54,42,42
95,418,322,43,41,42,42,42,42
96,608,463,202,125,60,106,60,74
97,185,394,46,30,25,25,25,25
98,163,22,22,22,22,22,22,22
99,324,63,94,54,37,37,37,37
100,125,493,21,19,20,60,20,20
