test_no,bfs,dfs,astar,greedy
1,107,511,22,24
2,346,440,101,41
3,416,40,49,40
4,326,252,71,188
5,434,274,160,66
6,260,277,69,105
7,455,497,55,55
8,222,74,104,46
9,401,262,68,91
10,420,583,130,83
11,604,275,334,152
12,86,495,17,17
13,45,20,19,19
14,526,150,241,110
15,510,500,82,89
16,190,592,37,28
17,267,379,49,34
18,350,362,69,81
19,469,605,242,82
20,160,431,38,30
21,186,176,29,27
22,116,586,42,43
23,574,295,188,97
24,406,313,170,86
25,625,285,397,115
26,319,268,98,41
27,9,16,3,2
28,475,540,302,97
29,528,549,184,85
30,194,519,38,41
31,374,355,86,38
32,383,298,32,32
33,280,606,111,42
34,532,175,92,84
35,339,279,102,75
36,189,128,32,28
37,453,469,150,73
38,350,159,153,63
39,359,161,62,149
40,639,223,422,164
41,43,99,17,14
42,440,407,146,51
43,192,146,89,53
44,209,623,58,45
45,412,438,108,59
46,362,312,130,76
47,277,260,73,55
48,617,262,415,172
49,460,400,116,81
50,404,469,94,51
51,142,610,41,50
52,335,583,82,100
53,167,144,35,35
54,257,33,41,28
55,105,541,19,17
56,241,154,107,54
57,556,416,240,146
58,588,347,130,52
59,578,290,230,122
60,303,35,79,35
61,195,207,31,40
62,577,324,278,76
63,198,110,61,34
64,537,340,292,76
65,109,568,40,43
66,21,51,8,5
67,493,545,182,110
68,198,247,78,29
69,650,473,510,175
70,495,194,137,84
71,630,209,306,95
72,77,367,24,22
73,529,505,289,170
74,354,82,72,64
75,445,574,142,124
76,173,484,27,20
77,225,70,49,38
78,75,219,17,18
79,131,433,20,19
80,378,351,141,80
81,81,110,17,16
82,409,214,113,58
83,474,122,208,80
84,132,624,30,29
85,249,462,59,46
86,212,459,63,34
87,30,428,12,10
88,402,223,107,45
89,359,208,45,66
90,257,112,86,42
91,103,116,18,13
92,140,146,27,27
93,425,231,176,109
94,603,207,249,221
95,37,634,11,9
96,198,392,48,42
97,15,8,8,8
98,261,142,81,41
99,339,628,172,52
100,64,652,15,15
